BJD - 2457000,PDC_SAP flux,error,Quality Flag
1411.781037,11105071,359.28384,0
1411.782426,11104270,359.26825,0
1411.783815,11103939,359.2826,0
1411.785204,11105629,359.29218,0
1411.786593,11110132,359.35867,0
1411.787982,11104603,359.26962,0
1411.789371,11107893,359.3572,0
1411.790759,11104763,359.2733,0
1411.792148,11105438,359.28418,0
1411.793537,11104933,359.27533,0
1411.794926,11105368,359.29272,0
1411.796315,11108016,359.3313,0
1411.797704,11106527,359.30457,0
1411.799093,11105628,359.28946,0
1411.800482,11104356,359.26132,0
1411.801871,11106945,359.34402,0
1411.80326,11105305,359.30542,0
1411.804649,11103986,359.2637,0
1411.806038,11105712,359.29813,0
1411.807427,11105679,359.29904,0
1411.808816,11105624,359.26245,0
1411.810205,11109254,359.33557,0
1411.811594,11104100,359.24667,0
1411.812982,11107186,359.30936,0
1411.814371,11104034,359.26385,0
1411.81576,11105040,359.30475,0
1411.817149,11104621,359.28555,0
1411.818538,11107794,359.30032,0
1411.819927,11103391,359.2674,0
1411.821316,11105644,359.28992,0
1411.822705,11106945,359.30185,0
1411.824094,11103001,359.27167,0
1411.825483,11106797,359.30615,0
1411.826872,11103675,359.2457,0
1411.828261,11106325,359.29727,0
1411.82965,11106051,359.30377,0
1411.831039,11102593,359.2143,0
1411.832428,11104622,359.29004,0
1411.833816,11106319,359.2961,0
1411.835205,11103541,359.26974,0
1411.836594,11105791,359.30267,0
1411.837983,11109634,359.33386,0
1411.839372,11120679,359.2286,512
1411.840761,11105812,359.29028,0
1411.84215,11108774,359.3083,0
1411.843539,11106458,359.32346,0
1411.844928,11107448,359.28568,0
1411.846317,11107778,359.32147,0
1411.847706,11104935,359.24792,0
1411.849095,11107416,359.3067,0
1411.850484,11106753,359.33676,0
1411.851873,11107948,359.31653,0
1411.853262,11106407,359.29913,0
1411.854651,11105255,359.28134,0
1411.856039,11104079,359.2708,0
1411.857428,11103797,359.265,0
1411.858817,11106934,359.3243,0
1411.860206,11107288,359.3198,0
1411.861595,11102937,359.24057,0
1411.862984,11106339,359.2964,0
1411.864373,11106621,359.3055,0
1411.865762,11104905,359.24786,0
1411.867151,11106212,359.3048,0
1411.86854,11106394,359.28473,0
1411.869929,11105472,359.2905,0
1411.871318,11103632,359.25754,0
1411.872707,11105642,359.29132,0
1411.874096,11104684,359.2476,0
1411.875485,11108449,359.33496,0
1411.876874,11104758,359.25787,0
1411.878262,11110371,359.3695,0
1411.879651,11105902,359.27008,0
1411.88104,11108401,359.31583,0
1411.882429,11107743,359.32068,0
1411.883818,11106890,359.2654,0
1411.885207,11103287,359.23373,0
1411.886596,11105448,359.28006,0
1411.887985,11104942,359.27466,0
1411.889374,11107253,359.30463,0
1411.890763,11105008,359.2711,0
1411.892152,11106985,359.30164,0
1411.893541,11107376,359.31802,0
1411.89493,11105855,359.27878,0
1411.896319,11104927,359.27814,0
1411.897708,11101257,359.22556,0
1411.899097,11105439,359.27118,0
1411.900485,11102556,359.22357,0
1411.901874,11110780,359.36575,0
1411.903263,11103928,359.28442,0
1411.904652,11108805,359.3242,0
1411.906041,11101869,359.2042,0
1411.90743,11107292,359.31137,0
1411.908819,11106011,359.28165,0
1411.910208,11103182,359.20193,0
1411.911597,11105095,359.28674,0
1411.912986,11106486,359.28442,0
1411.914375,11105873,359.28763,0
1411.915764,11109741,359.34955,0
1411.917153,11103176,359.203,0
1411.918542,11107020,359.28256,0
1411.919931,11119642,359.21014,512
1411.92132,11105834,359.2885,0
1411.922708,11105019,359.26688,0
1411.924097,11104327,359.25662,0
1411.925486,11105772,359.28018,0
1411.926875,11105453,359.27744,0
1411.928264,11106814,359.28836,0
1411.929653,11104730,359.263,0
1411.931042,11105923,359.29703,0
1411.932431,11107941,359.3313,0
1411.93382,11105545,359.25757,0
1411.935209,11105405,359.26474,0
1411.936598,11104898,359.2379,0
1411.937987,11103398,359.2468,0
1411.939376,11106778,359.29764,0
1411.940765,11107604,359.31305,0
1411.942154,11108053,359.33005,0
1411.943542,11107709,359.2885,0
1411.944931,11100914,359.16776,0
1411.94632,11108822,359.3008,0
1411.947709,11105113,359.27747,0
1411.949098,11104878,359.26285,0
1411.950487,11103203,359.2131,0
1411.951876,11104510,359.26474,0
1411.953265,11107123,359.30713,0
1411.954654,11102040,359.22284,0
1411.956043,11104975,359.2535,0
1411.957432,11100016,359.1943,0
1411.958821,11104000,359.2495,0
1411.96021,11101548,359.22772,0
1411.961599,11101527,359.22974,0
1411.962988,11106753,359.29318,0
1411.964377,11102854,359.25354,0
1411.965765,11105886,359.26907,0
1411.967154,11103804,359.22995,0
1411.968543,11103582,359.23752,0
1411.969932,11105756,359.28955,0
1411.971321,11105948,359.266,0
1411.97271,11101120,359.1766,0
1411.974099,11105296,359.27234,0
1411.975488,11104046,359.22635,0
1411.976877,11104615,359.2583,0
1411.978266,11104501,359.24072,0
1411.979655,11108082,359.29843,0
1411.981044,11105325,359.25385,0
1411.982433,11103884,359.22617,0
1411.983822,11106910,359.28067,0
1411.985211,11105886,359.25327,0
1411.9866,11103605,359.23126,0
1411.987988,11106537,359.27438,0
1411.989377,11103431,359.2177,0
1411.990766,11105789,359.28195,0
1411.992155,11107842,359.3205,0
1411.993544,11101481,359.16177,0
1411.994933,11108448,359.32343,0
1411.996322,11104127,359.2311,0
1411.997711,11103597,359.20703,0
1411.9991,11110429,359.33936,512
1412.000489,11102014,359.16312,0
1412.001878,11100778,359.17712,0
1412.003267,11102312,359.21942,0
1412.004656,11104704,359.2555,0
1412.006045,11106552,359.28326,0
1412.007434,11105004,359.26468,0
1412.008822,11105599,359.2702,0
1412.010211,11105293,359.24915,0
1412.0116,11102739,359.19507,0
1412.012989,11103683,359.2219,0
1412.014378,11108297,359.3067,0
1412.015767,11108224,359.31754,0
1412.017156,11104166,359.19778,0
1412.018545,11105488,359.26242,0
1412.019934,11104636,359.2545,0
1412.021323,11103124,359.21765,0
1412.022712,11102013,359.2151,0
1412.024101,11106407,359.27643,0
1412.02549,11104341,359.24014,0
1412.026879,11105865,359.23245,0
1412.028268,11106407,359.2942,0
1412.029657,11104792,359.2508,0
1412.031045,11103656,359.21466,0
1412.032434,11105987,359.27747,0
1412.033823,11107741,359.27567,0
