time, flux, empty
3277.140712776, 1.001266086,
3277.161148407, 1.001249116,
3277.181584139, 1.001249531,
3277.202019670, 1.001266593,
3277.222455402, 1.001178348,
3277.242891034, 1.001194955,
3277.263326666, 1.001258193,
3277.283762298, 1.001105500,
3277.304197930, 1.001023265,
3277.324633562, 1.001343415,
3277.345069194, 1.001217731,
3277.385940459, 1.001132832,
3277.406376192, 1.001163155,
3277.426811724, 1.001072167,
3277.447247457, 1.001159788,
3277.467682990, 1.001082350,
3277.488118623, 1.001044925,
3277.508554356, 1.001115068,
3277.528989889, 1.001080562,
3277.549425523, 1.000945763,
3277.569861256, 1.001288546,
3277.590296790, 1.000974449,
3277.631168157, 1.001062120,
3277.651603691, 1.001142592,
3277.672039425, 1.001148528,
3277.692475059, 1.001127719,
3277.712910593, 1.001093727,
3277.733346328, 1.001008047,
3277.753781962, 1.001004233,
3277.774217597, 1.001054073,
3277.794653231, 1.001001787,
3277.815088866, 1.001125652,
3277.835524501, 1.001045855,
3277.876395770, 1.001165354,
3277.896831506, 1.001069787,
3277.917267041, 1.001027992,
3277.937702676, 1.001163755,
3277.958138411, 1.001016095,
3277.978574047, 1.001214164,
3277.999009583, 1.001014519,
3278.019445318, 1.001078536,
3278.039880954, 1.001056629,
3278.060316490, 1.001071797,
3278.080752226, 1.001097516,
3278.121623498, 1.001224375,
3278.142059135, 1.001202028,
3278.162494771, 1.001107035,
3278.182930407, 1.001140497,
3278.203366044, 1.001099228,
3278.223801681, 1.001153168,
3278.244237317, 1.001146371,
3278.264672954, 1.001205948,
3278.285108491, 1.001142770,
3278.305544228, 1.001151124,
3278.325979865, 1.001099488,
3278.366851140, 1.001070544,
3278.387286777, 1.001294456,
3278.407722515, 1.001210075,
3278.428158153, 1.001137848,
3278.448593690, 1.000864334,
3278.469029428, 1.000808699,
3278.489465066, 1.000764243,
3278.509900604, 1.000718550,
3278.530336342, 1.000747983,
3278.550771980, 1.000822771,
3278.571207519, 1.000807059,
3278.612078895, 1.001358762,
3278.632514634, 1.001286766,
3278.652950173, 1.001260838,
3278.673385811, 1.001360302,
3278.693821550, 1.001279700,
3278.714257089, 1.000963569,
3278.734692728, 1.001357539,
3278.755128467, 1.001308165,
3278.775564006, 1.001280888,
3278.795999646, 1.001434256,
3278.816435385, 1.001304658,
