 MJD (day),     S_index,     Source
48991.7729,0.186,      MW
48991.7744,0.185,      MW
48991.7754,0.187,      MW
49010.7285,0.185,      MW
49010.73,0.192,      MW
49010.731,0.19,      MW
49019.6948,0.187,      MW
49019.6963,0.191,      MW
49019.6978,0.186,      MW
49279.9722,0.176,      MW
49279.9741,0.175,      MW
49279.9761,0.177,      MW
49294.9316,0.173,      MW
49294.9331,0.17,      MW
49294.9346,0.172,      MW
49297.8931,0.172,      MW
49297.8945,0.172,      MW
49297.8965,0.175,      MW
49299.8545,0.175,      MW
49299.8555,0.176,      MW
49299.8564,0.173,      MW
49304.8647,0.172,      MW
49304.8657,0.174,      MW
49304.8672,0.173,      MW
49309.8174,0.178,      MW
49309.8188,0.178,      MW
49309.8203,0.181,      MW
49311.812,0.176,      MW
49311.813,0.181,      MW
49311.814,0.177,      MW
49325.7598,0.173,      MW
49325.7612,0.175,      MW
49325.7622,0.176,      MW
49327.7827,0.173,      MW
49327.7847,0.172,      MW
49327.7866,0.169,      MW
49331.7988,0.167,      MW
49331.8008,0.17,      MW
